name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of Karelian Russian	Корпус русской речи Карелии	Karelian Russian	Карельский русский	https://lingconlab.ru/karelrus/	corpus	корпус	bilingual	билингвальный	Vedlozero	Ведлозеро	61.5840497	32.84259866	Russian	578646	spoco	
Corpus of Karelian Russian	Корпус русской речи Карелии	Karelian Russian	Карельский русский	https://lingconlab.ru/karelrus/	corpus	корпус	bilingual	билингвальный	Voknavolok	Вокнаволок	64.96367096	30.55972679	Russian	578646	spoco	
Corpus of Karelian Russian	Корпус русской речи Карелии	Karelian Russian	Карельский русский	https://lingconlab.ru/karelrus/	corpus	корпус	bilingual	билингвальный	Kinerma	Кинерма	61.52887061	32.82902349	Russian	578646	spoco	
Corpus of Karelian Russian	Корпус русской речи Карелии	Karelian Russian	Карельский русский	https://lingconlab.ru/karelrus/	corpus	корпус	bilingual	билингвальный	Kostomuksha	Костомукша	64.6256051	30.59937775	Russian	578646	spoco	
Corpus of Karelian Russian	Корпус русской речи Карелии	Karelian Russian	Карельский русский	https://lingconlab.ru/karelrus/	corpus	корпус	bilingual	билингвальный	Petrozavodsk	Петрозаводск	61.88543862	34.35907974	Russian	578646	spoco	
Corpus of Karelian Russian	Корпус русской речи Карелии	Karelian Russian	Карельский русский	https://lingconlab.ru/karelrus/	corpus	корпус	bilingual	билингвальный	Pryazha	Пряжа	61.69981975	33.62192192	Russian	578646	spoco	
Corpus of Russian spoken by the Besermans	Корпус русской речи бесермян	Beserman Russian	Бесермянский русский	https://lingconlab.ru/BesermanRus/	corpus	корпус	bilingual	билингвальный	Shamardan	Шамардан	58.01763035	52.15042724	Russian	97216	spoco	
Corpus of Russian spoken by the Roma	Корпус цыганского русского	Romani Russian	Цыганский русский	https://lingconlab.ru/romarus/	corpus	корпус	bilingual	билингвальный	Perm	Пермь	58.00197776	56.23228233	Russian	41767	spoco	
Corpus of Russian spoken in Bashkortostan	Корпус русской речи Башкирии	Bashkortostan Russian	Башкирский русский	https://lingconlab.ru/BashkirRus/	corpus	корпус	bilingual	билингвальный	Baimovo	Баимово	53.73774394	58.84175214	Russian	93127	spoco	
Corpus of Russian spoken in Chuvashia	Корпус русской речи Чувашии	Chuvash Russian	Чувашский русский	https://lingconlab.ru/ChuvashRus/	corpus	корпус	bilingual	билингвальный	Maloye Karachkino	Малое Карачкино	56.08806	46.45806	Russian	46307	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Archib	Арчиб	42.06677379	46.86868912	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Balkhar	Балхар	42.2787296	47.23117667	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Verkhniye Ubeki	Верхние Убеки	42.36709295	47.24507509	Russian	376717	spoco	
